[2023-12-12 00:32:46.496] [Thread-4] WARN  c.a.n.c.http.HttpClientBeanHolder : [HttpClientBeanHolder] Start destroying common HttpClient
[2023-12-12 00:32:46.495] [Thread-26] WARN  c.a.nacos.common.notify.NotifyCenter : [NotifyCenter] Start destroying Publisher
[2023-12-12 00:32:46.521] [Thread-26] WARN  c.a.nacos.common.notify.NotifyCenter : [NotifyCenter] Destruction of the end
[2023-12-12 00:32:46.523] [Thread-4] WARN  c.a.n.c.http.HttpClientBeanHolder : [HttpClientBeanHolder] Destruction of the end
[2023-12-12 00:32:47.142] [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry : De-registering from Nacos Server now...
[2023-12-12 00:32:47.172] [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry : De-registration finished.
[2023-12-12 00:33:10.464] [main] WARN  c.a.c.n.c.NacosPropertySourceBuilder : Ignore the empty nacos configuration and get it based on dataId[xfs-user] & group[DEFAULT_GROUP]
[2023-12-12 00:33:10.469] [main] WARN  c.a.c.n.c.NacosPropertySourceBuilder : Ignore the empty nacos configuration and get it based on dataId[xfs-user.yaml] & group[DEFAULT_GROUP]
[2023-12-12 00:33:10.479] [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-xfs-user-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-xfs-user.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-xfs-user,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-jwt.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-redis.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-mybatis-plus.yaml,DEFAULT_GROUP'}]
[2023-12-12 00:33:10.489] [main] INFO  com.yyh.xfs.user.UserApplication : The following profiles are active: dev
[2023-12-12 00:33:11.279] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
[2023-12-12 00:33:11.282] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2023-12-12 00:33:11.308] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
[2023-12-12 00:33:11.584] [main] INFO  o.s.cloud.context.scope.GenericScope : BeanFactory id=0bc058c5-48d1-393b-8ebf-eec9f6b119a9
[2023-12-12 00:33:11.902] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 9200 (http)
[2023-12-12 00:33:11.959] [main] INFO  o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-9200"]
[2023-12-12 00:33:11.959] [main] INFO  o.a.catalina.core.StandardService : Starting service [Tomcat]
[2023-12-12 00:33:11.959] [main] INFO  o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.56]
[2023-12-12 00:33:12.103] [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
[2023-12-12 00:33:12.103] [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1601 ms
[2023-12-12 00:33:15.348] [main] INFO  o.s.cloud.commons.util.InetUtils : Cannot determine local hostname
[2023-12-12 00:33:16.941] [main] INFO  o.s.cloud.commons.util.InetUtils : Cannot determine local hostname
[2023-12-12 00:33:17.003] [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
[2023-12-12 00:33:17.288] [main] INFO  o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-9200"]
[2023-12-12 00:33:17.311] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 9200 (http) with context path ''
[2023-12-12 00:33:17.332] [main] INFO  c.a.c.n.r.NacosServiceRegistry : nacos registry, DEFAULT_GROUP xfs-user 192.168.229.1:9200 register finished
[2023-12-12 00:33:18.973] [main] INFO  o.s.cloud.commons.util.InetUtils : Cannot determine local hostname
[2023-12-12 00:33:19.029] [main] INFO  com.yyh.xfs.user.UserApplication : Started UserApplication in 12.784 seconds (JVM running for 14.092)
[2023-12-12 00:33:19.038] [main] INFO  c.a.c.n.r.NacosContextRefresher : listening config: dataId=xfs-user, group=DEFAULT_GROUP
[2023-12-12 00:33:19.040] [main] INFO  c.a.c.n.r.NacosContextRefresher : listening config: dataId=xfs-user.yaml, group=DEFAULT_GROUP
[2023-12-12 00:33:19.041] [main] INFO  c.a.c.n.r.NacosContextRefresher : listening config: dataId=xfs-user-dev.yaml, group=DEFAULT_GROUP
